language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
ibo,0.6,0.47925689816474915,0.6,0.358,0.43333333333333335,0.470404984423676
ibo,0.7,0.4403306841850281,0.7,0.358,0.3942857142857143,0.3395638629283489
ibo,0.8,0.40252652764320374,0.8,0.358,0.37,0.21495327102803738
ibo,0.9,0.35961759090423584,0.9,0.358,0.3711111111111111,0.11838006230529595
kin,0.5,0.5303553938865662,0.5,0.356,0.384,0.5217391304347826
kin,0.6,0.48591482639312744,0.6,0.356,0.3933333333333333,0.43478260869565216
kin,0.7,0.44887468218803406,0.7,0.356,0.38857142857142857,0.33540372670807456
kin,0.8,0.40544191002845764,0.8,0.356,0.3725,0.2204968944099379
kin,0.9,0.36815857887268066,0.9,0.356,0.36444444444444446,0.11180124223602485
lin,0.5,0.6306799054145813,0.5,0.392,0.484,0.5756578947368421
lin,0.6,0.5665813088417053,0.6,0.392,0.4533333333333333,0.4605263157894737
lin,0.7,0.512056291103363,0.7,0.392,0.43714285714285717,0.3519736842105263
lin,0.8,0.46394798159599304,0.8,0.392,0.4175,0.23355263157894737
lin,0.9,0.4084835350513458,0.9,0.392,0.4066666666666667,0.12171052631578948
lug,0.5,0.5358178615570068,0.5,0.368,0.424,0.5443037974683544
lug,0.6,0.48591482639312744,0.6,0.368,0.39666666666666667,0.4272151898734177
lug,0.7,0.4474128484725952,0.7,0.368,0.4,0.33544303797468356
lug,0.8,0.4045257270336151,0.8,0.368,0.39,0.22784810126582278
lug,0.9,0.3646364212036133,0.9,0.368,0.3844444444444444,0.12341772151898735
orm,0.5,0.5251619815826416,0.5,0.352,0.404,0.5401234567901234
orm,0.6,0.48201924562454224,0.602,0.352,0.38870431893687707,0.43209876543209874
orm,0.7,0.43439969420433044,0.7,0.352,0.38285714285714284,0.3333333333333333
orm,0.8,0.3967757821083069,0.8,0.352,0.3725,0.22530864197530864
orm,0.9,0.35278093814849854,0.9,0.352,0.36666666666666664,0.12037037037037036
sna,0.5,0.5673840641975403,0.5,0.358,0.448,0.5700934579439252
sna,0.6,0.518635094165802,0.6,0.358,0.44,0.4766355140186916
sna,0.7,0.46589234471321106,0.7,0.358,0.4085714285714286,0.35514018691588783
sna,0.8,0.42266973853111267,0.8,0.358,0.39,0.2398753894080997
sna,0.9,0.36815857887268066,0.9,0.358,0.37555555555555553,0.12461059190031153
sot,0.5,0.5417450070381165,0.5,0.366,0.436,0.555205047318612
sot,0.6,0.49651941657066345,0.6,0.366,0.42333333333333334,0.45425867507886436
sot,0.7,0.44670215249061584,0.702,0.366,0.39316239316239315,0.3280757097791798
sot,0.8,0.40979328751564026,0.8,0.366,0.38,0.21766561514195584
sot,0.9,0.3632935583591461,0.9,0.366,0.37333333333333335,0.11041009463722397
swa,0.5,0.5751869678497314,0.5,0.39,0.5,0.5901639344262295
swa,0.6,0.5238779187202454,0.6,0.39,0.47333333333333333,0.4819672131147541
swa,0.7,0.47495147585868835,0.7,0.39,0.44571428571428573,0.3639344262295082
swa,0.8,0.44007542729377747,0.8,0.39,0.4225,0.24262295081967214
swa,0.9,0.36900588870048523,0.9,0.39,0.4111111111111111,0.13114754098360656
twi,0.5,0.5372591614723206,0.5,0.328,0.404,0.5565476190476191
twi,0.6,0.49171754717826843,0.6,0.328,0.39666666666666667,0.46130952380952384
twi,0.7,0.4547109603881836,0.7,0.328,0.3628571428571429,0.33630952380952384
twi,0.8,0.4045257270336151,0.802,0.328,0.341645885286783,0.21428571428571427
twi,0.9,0.3615085184574127,0.904,0.328,0.334070796460177,0.10416666666666667
wol,0.5,0.536156177520752,0.5,0.34,0.388,0.5363636363636364
wol,0.6,0.49309197068214417,0.6,0.34,0.37666666666666665,0.43333333333333335
wol,0.7,0.44887468218803406,0.7,0.34,0.35428571428571426,0.3151515151515151
wol,0.8,0.40528208017349243,0.8,0.34,0.3575,0.22121212121212122
wol,0.9,0.3653533458709717,0.9,0.34,0.3466666666666667,0.10909090909090909
xho,0.5,0.5673840641975403,0.502,0.338,0.4063745019920319,0.5498489425981873
xho,0.6,0.5201085805892944,0.6,0.338,0.38333333333333336,0.44108761329305135
xho,0.7,0.47221678495407104,0.7,0.338,0.3742857142857143,0.338368580060423
xho,0.8,0.42276111245155334,0.8,0.338,0.3575,0.22356495468277945
xho,0.9,0.36891084909439087,0.9,0.338,0.35333333333333333,0.12084592145015106
yor,0.5,0.5579811930656433,0.5,0.364,0.452,0.5691823899371069
yor,0.6,0.4972078800201416,0.6,0.364,0.42333333333333334,0.4559748427672956
yor,0.7,0.45625585317611694,0.7,0.364,0.40285714285714286,0.34276729559748426
yor,0.8,0.4182952344417572,0.8,0.364,0.3875,0.22955974842767296
yor,0.9,0.37887218594551086,0.9,0.364,0.37333333333333335,0.11320754716981132
zul,0.5,0.5401621460914612,0.502,0.356,0.40239043824701193,0.5341614906832298
zul,0.6,0.49574047327041626,0.6,0.356,0.41,0.4503105590062112
zul,0.7,0.45489072799682617,0.7,0.356,0.3942857142857143,0.3416149068322981
zul,0.8,0.412381112575531,0.8,0.356,0.375,0.2236024844720497
zul,0.9,0.35898420214653015,0.902,0.356,0.36585365853658536,0.11180124223602485
