language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,auarc,experiment,model,dataset,n_shots
eng,804,0.3793532338308458,0.4370075540793179,0.06562125595722033,0.23965204892060346,0.05765432024847211,0.6023456749564704,0.438525366478342,aya_expanse_8b_uhura_truthfulqa_5shot,aya_expanse_8b,uhura_truthfulqa,5
hau,803,0.30884184308841844,0.5335622857397847,0.2247204426513662,0.27964667809258953,0.22472044265136626,0.56512641673932,0.3423873343052925,aya_expanse_8b_uhura_truthfulqa_5shot,aya_expanse_8b,uhura_truthfulqa,5
nso,803,0.286425902864259,0.539302680367699,0.25287677750343995,0.28591608260287504,0.25287677750344,0.5642992639805751,0.30962655357276925,aya_expanse_8b_uhura_truthfulqa_5shot,aya_expanse_8b,uhura_truthfulqa,5
swa,802,0.30798004987531175,0.5415222243849476,0.2353757308085363,0.28368032755865247,0.23354217450963582,0.5574059889849363,0.3348166420241043,aya_expanse_8b_uhura_truthfulqa_5shot,aya_expanse_8b,uhura_truthfulqa,5
yor,804,0.35572139303482586,0.49072108977469636,0.13802431857407982,0.25668356240206985,0.1349996967398705,0.575019575019575,0.39009837473795594,aya_expanse_8b_uhura_truthfulqa_5shot,aya_expanse_8b,uhura_truthfulqa,5
zul,773,0.3014230271668823,0.545526873942026,0.24410384677514374,0.28232125611045555,0.24410384677514374,0.5810920362422508,0.3422923081477232,aya_expanse_8b_uhura_truthfulqa_5shot,aya_expanse_8b,uhura_truthfulqa,5
amh,500,0.268,0.5801156479716301,0.3144938822388649,0.3278726262061204,0.31211564797163005,0.49977571160590484,0.2609843564614934,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
eng,500,0.296,0.5994325487017631,0.31109394592046735,0.343931849342104,0.3034325487017631,0.47210918304668303,0.29161496727162334,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
ewe,500,0.252,0.6255873418450355,0.37358734184503556,0.3536707516701657,0.3735873418450355,0.554791613615143,0.28458857485483224,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
fra,500,0.244,0.6271554359197616,0.3831554359197617,0.3632276728827266,0.38315543591976164,0.5175644028103045,0.267168339361339,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
hau,500,0.308,0.6166594824790954,0.30865948247909547,0.3413308544561712,0.3086594824790954,0.5152390961639517,0.32026658082528847,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
ibo,500,0.288,0.6171888871788979,0.3291888871788978,0.337642745648538,0.3291888871788979,0.5563163233458178,0.32065995629158756,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
kin,500,0.278,0.6104860184192658,0.3324860184192657,0.33542708939991905,0.3324860184192657,0.5491141712668647,0.3254874149738282,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
lin,500,0.264,0.6260229267477989,0.36499626928567885,0.3576954647132948,0.3620229267477989,0.5278944334650857,0.3096917524056053,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
lug,500,0.268,0.5996741290688514,0.33460778921842577,0.3265869701123163,0.3316741290688514,0.5653087023896909,0.3179896547481778,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
orm,500,0.258,0.6043407886624336,0.3463407886624336,0.35345519899050915,0.34634078866243356,0.4917152468710169,0.24857180719620542,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
sna,500,0.248,0.6168496457934379,0.36884964579343804,0.3540343275008322,0.36884964579343793,0.5429821551132464,0.2718701642695745,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
sot,500,0.26,0.6110072647333145,0.3510072647333145,0.34168521032628596,0.35100726473331445,0.5387525987525987,0.2998069400863731,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
swa,500,0.28,0.6052117611169815,0.32521176111698147,0.3391807247002713,0.32521176111698147,0.5078174603174603,0.2915284222462272,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
twi,500,0.276,0.610143794119358,0.3341437941193581,0.35081987254262387,0.334143794119358,0.5003803346945311,0.27927263489435383,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
wol,500,0.266,0.6091295772790909,0.3431295772790909,0.34171040094857935,0.3431295772790909,0.5222798139763577,0.2877061269319753,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
xho,500,0.288,0.6107388174533844,0.3227388174533844,0.344868770482241,0.32273881745338445,0.5083099250936329,0.29055467788445666,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
yor,500,0.25,0.5990057615637779,0.34900576156377794,0.34751524897390745,0.34900576156377794,0.49463466666666667,0.24370416705577552,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
zul,500,0.252,0.6143267601132393,0.3623267601132393,0.34376488228110247,0.3623267601132393,0.5586113233172056,0.2928581125136427,gemma4_12b_afrimmlu,gemma4_12b,afrimmlu,0
